
Kaby Lake3002737625,77922.593608,62602.768813,0.814817,2704.586093
Kaby Lake3002737626,77922.607341,62602.777541,0.814817,2704.586765
Kaby Lake3002737627,77922.621501,62602.785720,0.814817,2704.587436
Kaby Lake3002737628,77922.636149,62602.796645,0.814817,2704.588230
Kaby Lake3002737629,77922.650676,62602.806045,0.814817,2704.588962
Kaby Lake3002737629,77922.650676,62602.814101,0.814817,2704.588962
Kaby Lake3002737630,77922.664531,62602.823317,0.814817,2704.589633
Kaby Lake3002737631,77922.678569,62602.832717,0.814817,2704.590305
Kaby Lake3002737632,77922.693156,62602.841140,0.814817,2704.590976
Kaby Lake3002737633,77922.706462,62602.849868,0.814817,2704.591648
Kaby Lake3002737634,77922.721659,62602.859145,0.814817,2704.592380
Kaby Lake3002737635,77922.735392,62602.867995,0.814817,2704.593051
Kaby Lake3002737635,77922.749064,62602.876418,0.814817,2704.593723
Kaby Lake3002737636,77922.749064,62602.885695,0.814817,2704.593723
Kaby Lake3002737637,77922.764079,62602.895034,0.814817,2704.594394
Kaby Lake3002737638,77922.778788,62602.903945,0.814817,2704.595004
Kaby Lake3002737639,77922.792704,62602.912978,0.814817,2704.595676
Kaby Lake3002737640,77922.807719,62602.922194,0.814817,2704.596408
Kaby Lake3002737641,77922.822428,62602.931716,0.814817,2704.597080
Kaby Lake3002737641,77922.836710,62602.941542,0.814817,2704.597690
Kaby Lake3002737642,77922.836710,62602.949172,0.814817,2704.597690
Kaby Lake3002737643,77922.863200,62602.959609,0.814817,2704.599155
Kaby Lake3002737644,77922.863200,62602.968520,0.814817,2704.599155
Kaby Lake3002737645,77922.876993,62602.977919,0.814817,2704.599887
Kaby Lake3002737646,77922.891642,62602.986769,0.814817,2704.600620
Kaby Lake3002737647,77922.907145,62602.996046,0.814817,2704.601291
Kaby Lake3002737648,77922.922220,62603.005690,0.814817,2704.602023
Kaby Lake3002737649,77922.937357,62603.017409,0.814817,2704.602817
Kaby Lake3002737650,77922.954935,62603.029249,0.814817,2704.603671
Kaby Lake3002737650,77922.969095,62603.039198,0.814817,2704.604343
Kaby Lake3002737651,77922.984415,62603.049391,0.814817,2704.605075
Kaby Lake3002737652,77922.984415,62603.058424,0.814817,2704.605075
Kaby Lake3002737653,77922.999125,62603.067213,0.814817,2704.605747
Kaby Lake3002737654,77923.013224,62603.076124,0.814817,2704.606357
Kaby Lake3002737655,77923.028055,62603.085280,0.814817,2704.606967
Kaby Lake3002737656,77923.043680,62603.094679,0.814817,2704.607700
Kaby Lake3002737656,77923.058328,62603.104139,0.814817,2704.608371
Kaby Lake3002737657,77923.058328,62603.113600,0.814817,2704.608371
Kaby Lake3002737658,77923.072977,62603.122633,0.814817,2704.609042
Kaby Lake3002737659,77923.088602,62603.131910,0.814817,2704.609714
Kaby Lake3002737660,77923.104471,62603.142530,0.814817,2704.610629
Kaby Lake3002737661,77923.119791,62603.152113,0.814817,2704.611301
Kaby Lake3002737662,77923.134500,62603.162367,0.814817,2704.612033
Kaby Lake3002737663,77923.149637,62603.172560,0.814817,2704.612644
Kaby Lake3002737664,77923.165445,62603.183729,0.814817,2704.613315
Kaby Lake3002737664,77923.181314,62603.194044,0.814817,2704.613986
Kaby Lake3002737665,77923.181314,62603.203138,0.814817,2704.613986
Kaby Lake3002737666,77923.197916,62603.212904,0.814817,2704.614719
Kaby Lake3002737667,77923.212137,62603.221449,0.814817,2704.615390
Kaby Lake3002737668,77923.228372,62603.230787,0.814817,2704.616123
Kaby Lake3002737669,77923.243142,62603.239576,0.814817,2704.616855
Kaby Lake3002737669,77923.258951,62603.249281,0.814817,2704.617587
Kaby Lake3002737670,77923.258951,62603.259657,0.814817,2704.617587
Kaby Lake3002737671,77923.275186,62603.268995,0.814817,2704.618198
Kaby Lake3002737672,77923.289834,62603.280042,0.814817,2704.618930
